occupation,risk_score,risk_level,timeline_years,trend,industry,primary_ai_threat,workforce_size_us
Welder,42,MODERATE,5-8,stable,Manufacturing,Welding robots,410000
Marketing Manager,42,MODERATE,5-7,stable,Business,AI ad optimization + content,310000
Music Producer,40,MODERATE,5-8,stable,Creative,AI music generation,55000
Audio/Video Technician,40,MODERATE,5-7,stable,Creative,AI editing tools,85000
Data Scientist,35,LOW,7+,stable,Technology,AI builds AI but needs oversight,195000
Art Director,35,LOW,7+,stable,Creative,Creative direction + brand vision,95000
UX Researcher,35,LOW,8+,stable,Technology,Human insight + behavior analysis,45000
Product Manager,32,LOW,8+,stable,Technology,Cross-functional leadership,285000
Architect,32,LOW,8+,stable,Engineering,Creative vision + client relations,120000
HR Manager,30,LOW,8+,stable,HR,People management + culture,190000
Civil Engineer,30,LOW,8+,stable,Engineering,Site-specific + safety critical,320000
Sales Executive (B2B),30,LOW,8+,stable,Sales,Relationship-driven complex sales,410000
Chef (fine dining),28,LOW,10+,stable,Food Service,Creativity + taste + art,165000
Senior Software Engineer,28,LOW,10+,stable,Technology,Architecture + complex systems,320000
Landscape Architect,28,LOW,10+,stable,Engineering,Site-specific + aesthetic vision,25000
Police Officer,26,LOW,12+,stable,Public Safety,Public safety + judgment,665000
Occupational Therapist,25,LOW,12+,decreasing,Healthcare,Adaptive physical therapy,145000
Mechanical Engineer,25,LOW,10+,stable,Engineering,Design creativity + testing,285000
Automotive Mechanic,25,LOW,10+,stable,Trades,Diagnostics going AI hands-on stays,750000
CEO/Executive,25,LOW,15+,stable,Business,Strategy + leadership,290000
Dental Hygienist,22,LOW,12+,stable,Healthcare,Physical procedures,230000
Veterinarian,22,LOW,12+,decreasing,Healthcare,Animal handling + diagnostics,85000
Airline Pilot,22,LOW,10+,stable,Transportation,Safety-critical + regulation,95000
Athletic Trainer,22,LOW,12+,stable,Healthcare,Physical assessment + rehab,35000
Construction Manager,20,LOW,12+,stable,Construction,On-site oversight + coordination,480000
Speech Therapist,20,LOW,12+,decreasing,Healthcare,Physical + communication therapy,165000
Nurse Practitioner,19,LOW,15+,decreasing,Healthcare,Advanced clinical + patient trust,355000
Physical Therapist,18,LOW,15+,decreasing,Healthcare,Hands-on rehabilitation,260000
Social Worker,18,LOW,15+,decreasing,Social Services,Complex human relationships,715000
School Principal,18,LOW,15+,decreasing,Education,Community leadership + education,130000
HVAC Technician,18,LOW,15+,decreasing,Trades,Physical installation + repair,395000
Kindergarten Teacher,16,LOW,15+,decreasing,Education,Child development + nurturing,155000
Plumber,15,LOW,15+,decreasing,Trades,Hands-on problem solving,490000
Nurse Anesthetist,15,LOW,15+,decreasing,Healthcare,Critical patient safety,45000
Robotics Engineer,15,LOW,15+,decreasing,Technology,Building the automation itself,35000
Judge,15,LOW,15+,decreasing,Legal,Legal judgment + authority,45000
Electrician,14,LOW,15+,decreasing,Trades,Varied physical environments,740000
Midwife,12,LOW,15+,decreasing,Healthcare,Intimate care + emergencies,8000
Firefighter,12,LOW,15+,decreasing,Public Safety,Physical danger + unpredictability,330000
Psychologist,12,LOW,15+,decreasing,Healthcare,Therapeutic alliance + empathy,192000
Clergy/Minister,10,LOW,15+,decreasing,Community,Spiritual guidance + community,65000
Surgeon,10,LOW,15+,decreasing,Healthcare,Manual precision + liability,45000
Emergency Room Nurse,8,LOW,15+,decreasing,Healthcare,Physical care + critical judgment,3100000
